timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
520000,173,378.30738388889773,78.90627010930406,0.96,0.0,114.32,10.712331266403199
530000,173,356.4193391050184,135.39118829708298,0.9,0.04,136.1,11.935314025878906
540000,173,376.45063941585727,99.82070786545385,0.96,0.04,85.84,10.531876430511474
550000,173,366.26893838905494,120.35035040645242,0.94,0.06,88.2,10.483367283344268
560000,173,393.4444555623678,15.636836526401177,1.0,0.0,91.34,10.447457695007325
570000,173,360.69341248982005,126.39822370720108,0.92,0.04,115.72,11.909572715759277
580000,173,368.8537400113892,106.35476297151072,0.94,0.02,117.18,11.019523515701295
590000,173,391.1074580420775,73.03358195106196,0.98,0.02,98.44,12.657241659164429
600000,173,389.7515217590495,61.39683123724056,0.98,0.0,111.58,12.120665955543519
610000,173,376.73667809120843,84.83868060447169,0.96,0.02,97.46,10.972466630935669
620000,173,361.75682555733,123.92183017224323,0.92,0.04,114.88,11.372397792339324
630000,174,389.23107970389026,69.76972698583232,0.98,0.02,99.38,11.840274248123169
640000,174,397.49337677358125,17.14210061846869,1.0,0.0,96.32,11.979305419921875
650000,174,387.41235951923284,71.41281936619613,0.98,0.02,95.46,11.922841958999634
660000,174,369.7683224618702,110.78474790653112,0.94,0.04,104.84,11.289138506650925
670000,174,389.0737260845181,73.22517178582599,0.98,0.02,99.72,12.269954843521118
680000,174,389.08257422226075,59.32472443319114,0.98,0.0,108.0,11.965898580551148
690000,174,395.24672773773307,15.286262951040001,1.0,0.0,92.06,11.352479095458984
700000,174,378.74514652583787,86.68172397730308,0.96,0.02,100.42,11.271954964399338
710000,174,380.47745021682147,81.23204514397638,0.96,0.0,110.88,11.252365727424621
720000,174,361.9960097364976,126.3517190349007,0.92,0.04,115.46,11.342306718826293
730000,174,387.2079388508731,58.09002445871181,0.98,0.0,103.88,11.176058492660523
740000,174,396.0694417163914,15.362772065177452,1.0,0.0,98.12,12.55589267730713
750000,174,376.56112466832855,97.53631453300797,0.96,0.04,89.28,11.192478837966918
760000,174,385.22679135694403,58.60744744767502,0.98,0.0,101.06,10.861154880523681
770000,174,394.7480480588472,16.88408732690845,1.0,0.0,88.62,10.994639625549317
780000,174,387.7142943687427,72.72794186944733,0.98,0.02,97.18,12.222867994308471
790000,174,396.5451990687766,13.677064055185092,1.0,0.0,91.86,11.56076904296875
800000,174,384.22296890173004,71.00596659188109,0.98,0.02,88.24,10.907743995785713
810000,174,381.75199699755785,72.97395433489322,0.98,0.02,87.26,10.510646593570709
820000,174,369.9855642554237,111.1240531682275,0.94,0.04,105.66,12.302871809005737
830000,174,386.38777430117113,71.97633235317683,0.98,0.02,93.36,11.574545810446143
840000,174,369.64358220525753,113.49775544243796,0.94,0.04,102.76,11.491692252159119
850000,174,397.0789547017397,18.888857542842313,1.0,0.0,88.66,11.710023984909057
860000,174,362.78237852598596,121.45769901904465,0.94,0.06,87.46,10.468416502475739
870000,174,393.67337321598666,16.746332811776323,1.0,0.0,88.16,10.904700307846069
880000,175,371.09807861131327,118.96248929234334,0.94,0.06,98.62,12.530191118717193
890000,175,371.9994342375631,100.62842612027443,0.94,0.02,115.28,12.031004047393798
900000,175,374.1849506627687,89.87269858424904,0.96,0.02,91.94,9.862907213568688
910000,175,368.69666251984125,112.60858423051896,0.94,0.04,100.06,11.239011306762695
920000,175,386.8970347411107,58.198805347751346,0.98,0.0,99.42,10.93487372159958
930000,175,372.0070344378217,99.79757002293032,0.96,0.04,88.5,10.90783231496811
940000,175,364.3789128639339,117.56455461587105,0.94,0.06,86.52,10.697067151069641
950000,175,350.6737390624944,142.27691359955628,0.9,0.08,103.74,11.862057309150696
960000,175,368.0699718751246,109.51270093727815,0.94,0.04,97.32,10.836050548553466
970000,175,334.631138831937,160.6502197199867,0.88,0.12,82.48,10.337909088134765
980000,175,384.38789599987484,71.66017012962371,0.98,0.02,91.2,11.342367864251138
990000,175,374.95101399110865,99.61098529759086,0.96,0.04,82.68,10.474096790552139
1000000,175,388.04485260655855,73.33634302129798,0.98,0.02,87.54,11.266088554263115
1010000,175,385.5127270851568,58.02176543637536,0.98,0.0,94.34,10.250097764730453
1020000,175,387.5588662923955,75.02254364426828,0.98,0.02,91.74,11.61583999633789
1030000,175,359.64902276074076,130.25567281654855,0.92,0.06,98.2,10.862191181182862
1040000,175,385.45856323468615,74.25071712720516,0.98,0.02,88.82,11.277671566009522
1050000,175,377.9478478483128,95.62074320504048,0.96,0.04,92.56,11.726597700119019
1060000,175,387.0143648237861,74.2974751568904,0.98,0.02,87.98,11.09518262386322
1070000,175,382.7052943061368,101.32522174383084,0.96,0.04,95.7,12.430327555537223
1080000,175,369.2797228008026,116.93137371145563,0.94,0.06,90.22,11.368900446891784
1090000,176,373.14753788999894,112.8510923756222,0.94,0.04,103.92,12.472535924911499
1100000,176,375.97261976627635,97.75228699920119,0.96,0.04,85.92,10.863702001571655
1110000,176,358.2289825062643,136.29803939928246,0.92,0.08,85.06,10.638093166351318
1120000,176,373.36403464515985,96.6046005855653,0.96,0.04,79.4,10.128031718730927
1130000,176,387.76097712394375,73.32270839566316,0.98,0.02,89.54,11.573244695663453
1140000,176,371.24082739142233,100.8998829124125,0.96,0.04,78.8,9.826498913764954
1150000,176,394.7946492687016,17.517293753788632,1.0,0.0,88.74,10.939541301727296
1160000,176,365.3760818892266,110.8027938820174,0.94,0.04,95.36,10.38409059047699
1170000,176,392.080913593983,17.547518910967057,1.0,0.0,87.1,10.864942922592164
1180000,176,380.89026335465473,89.45444001653739,0.96,0.02,98.7,11.52163409948349
1190000,176,377.2136035533903,96.90611240049897,0.96,0.04,86.62,11.380506324768067
1200000,176,344.5004043839965,150.76565426220787,0.9,0.1,79.88,9.96285538315773
1210000,176,360.7194738830703,137.4238896075165,0.92,0.08,90.08,11.942388031482697
1220000,176,387.2656980057992,74.1606127706312,0.98,0.02,86.76,11.48649263381958
1230000,176,388.82684627520734,73.69065485443049,0.98,0.02,89.7,11.97459145784378
1240000,176,396.1715177369946,18.231101260980612,1.0,0.0,94.56,11.611369581222535
1250000,176,381.65881549573504,70.29768673578947,0.98,0.02,85.36,10.629701566994191
1260000,176,339.6612045476839,165.48768703245645,0.88,0.12,84.52,10.940328662395478
1270000,176,381.55910941924145,70.51495378666868,0.98,0.02,80.64,9.922644205093384
1280000,176,355.2629674699552,128.08808079521216,0.92,0.06,96.54,10.62832453608513
1290000,176,397.382690703127,15.062027620423903,1.0,0.0,88.34,11.408277254104615
1300000,176,375.42441022429557,95.335489462421,0.96,0.04,87.98,11.294095029830933
1310000,176,399.18484982597715,19.16006660407835,1.0,0.0,95.62,12.798438158035278
1320000,176,367.17026239921483,113.66217431896439,0.94,0.04,92.8,10.54416226863861
1330000,176,374.96176409303706,99.61860845273289,0.96,0.04,93.92,11.718349027633668
1340000,176,397.84126440016934,17.3889120863566,1.0,0.0,83.64,11.138600702285766
1350000,176,385.0651199796586,71.86871340420845,0.98,0.02,81.0,10.545666399002075
1360000,176,386.9634639359341,60.233990911928885,0.98,0.0,97.86,11.137396123409271
1370000,176,373.676674618636,99.9375780645879,0.96,0.04,78.04,10.267923645973205
1380000,176,397.2851498537249,15.460240447852488,1.0,0.0,86.62,11.08313232421875
1390000,176,365.391797043598,111.41893968334345,0.94,0.04,91.54,9.946090321540833
1400000,176,381.3084223075415,99.85054966012112,0.96,0.04,90.94,12.352010066583752
1410000,176,395.0179391085153,19.85353675688694,1.0,0.0,82.58,11.005325908660888
1420000,176,387.41904757936777,67.8547717855562,0.98,0.02,87.44,11.670819101333619
1430000,176,392.0534278508357,73.78722834007232,0.98,0.02,89.56,12.311834163665772
1440000,176,381.5538995230766,87.00896446212091,0.96,0.02,99.52,11.542521648406982
1450000,176,394.0493050401186,16.94327663657541,1.0,0.0,87.18,11.253104429244996
1460000,176,389.2545868828561,75.25360937464643,0.98,0.02,89.0,11.88979814529419
1470000,176,397.5828817044816,19.365934066258813,1.0,0.0,89.22,11.957464170455932
1480000,176,395.0755797557405,17.514509423695372,1.0,0.0,80.94,10.95068907737732
1490000,176,378.17159174760394,97.5508053108196,0.96,0.04,94.26,12.48188835144043
1500000,176,366.06105785074845,107.99994517762455,0.94,0.04,90.36,10.382414630055427
