name,group,task,parent_dir,timesteps,seed,learning_rate,ent_coef,r_goal,r_collision,r_step,r_action,r_progress,r_proximity,proximity_threshold,out_dir,episodes,success_rate,collision_rate,mean_return,std_return,mean_steps,mean_path_length
baseline_lr3e4_entauto_reward350_4,baseline,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0003,auto,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\sac_sensitivity_clean\baseline_lr3e4_entauto_reward350_4,200,0.785,0.045,305.59216465322737,172.91682418106922,185.12,9.498791507706047
lr_low_1e4,learning_rate,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0001,auto,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\sac_sensitivity_clean\lr_low_1e4,200,0.68,0.08,261.2471953161392,196.77699655766688,225.8,9.363363695889712
lr_high_1e3,learning_rate,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.001,auto,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\sac_sensitivity_clean\lr_high_1e3,200,0.905,0.05,355.4743536947541,131.1505648179089,125.225,11.500531349405646
reward_weak_guidance,reward,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0003,auto,200.0,-100.0,-0.01,-0.001,1.0,-0.01,1.0,experiments\sac_sensitivity_clean\reward_weak_guidance,200,0.625,0.04,244.5378999624225,196.24169159872045,270.125,9.392282855212688
reward_aggressive_goal,reward,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0003,auto,600.0,-100.0,-0.01,-0.001,10.0,-0.01,1.0,experiments\sac_sensitivity_clean\reward_aggressive_goal,200,0.905,0.045,355.042890514046,131.4629835008502,122.54,11.372314632311463
reward_weak_safety,reward,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0003,auto,350.0,-50.0,-0.01,-0.001,4.0,0.0,1.0,experiments\sac_sensitivity_clean\reward_weak_safety,200,0.8,0.065,310.88563120067914,173.7698422251568,166.185,9.906028868407011
reward_safety_focused,reward,three_obstacles_random,experiments/sac/two_obstacles_random,500000,700,0.0003,auto,350.0,-250.0,-0.01,-0.001,4.0,-0.05,1.5,experiments\sac_sensitivity_clean\reward_safety_focused,200,0.555,0.015,217.46634014478775,198.05142618126013,325.97,8.519045690074563
